gcf_id,Category
NRPS_gcf_1499,NRPS
NRPS_gcf_15,NRPS
NRPS_gcf_150,NRPS
NRPS_gcf_1500,NRPS
NRPS_gcf_1501,NRPS
NRPS_gcf_1502,NRPS
NRPS_gcf_1503,NRPS
NRPS_gcf_1504,NRPS
NRPS_gcf_1505,NRPS
NRPS_gcf_1506,NRPS
NRPS_gcf_1507,NRPS
NRPS_gcf_1508,NRPS
NRPS_gcf_1509,NRPS
NRPS_gcf_151,NRPS
NRPS_gcf_1510,NRPS
NRPS_gcf_1511,NRPS
NRPS_gcf_1512,NRPS
NRPS_gcf_1513,NRPS
NRPS_gcf_1514,NRPS
NRPS_gcf_1515,NRPS
NRPS_gcf_1516,NRPS
NRPS_gcf_1517,NRPS
NRPS_gcf_1518,NRPS
NRPS_gcf_1519,NRPS
NRPS_gcf_152,NRPS
NRPS_gcf_1520,NRPS
NRPS_gcf_1521,NRPS
NRPS_gcf_1522,NRPS
NRPS_gcf_1523,NRPS
NRPS_gcf_1524,NRPS
NRPS_gcf_1525,NRPS
NRPS_gcf_1526,NRPS
NRPS_gcf_1527,NRPS
NRPS_gcf_1528,NRPS
NRPS_gcf_1529,NRPS
NRPS_gcf_153,NRPS
NRPS_gcf_1530,NRPS
NRPS_gcf_1531,NRPS
NRPS_gcf_1532,NRPS
NRPS_gcf_1533,NRPS
NRPS_gcf_1534,NRPS
NRPS_gcf_1535,NRPS
NRPS_gcf_1536,NRPS
NRPS_gcf_1537,NRPS
NRPS_gcf_1538,NRPS
NRPS_gcf_1539,NRPS
NRPS_gcf_154,NRPS
NRPS_gcf_1540,NRPS
NRPS_gcf_1541,NRPS
NRPS_gcf_1542,NRPS
NRPS_gcf_1543,NRPS
NRPS_gcf_1544,NRPS
NRPS_gcf_1545,NRPS
NRPS_gcf_1546,NRPS
NRPS_gcf_1547,NRPS
NRPS_gcf_1548,NRPS
NRPS_gcf_1549,NRPS
NRPS_gcf_155,NRPS
NRPS_gcf_1550,NRPS
