V1,V2,V3
-119.919893190921,30,-3916.30029296875
-119.853137516689,30,-3764.64013671875
-119.786381842457,30,-3654.96020507812
-119.719626168224,30,-3624.52734375
-119.652870493992,30,-3514.21752929688
-119.58611481976,30,-3522.82739257812
-119.519359145527,30,-3539.3974609375
-119.452603471295,30,-3652.36743164062
-119.385847797063,30,-3616.45751953125
-119.31909212283,30,-3673.52734375
-119.252336448598,30,-3659.46752929688
-119.185580774366,30,-3558.7099609375
-119.118825100134,30,-3452.58984375
-119.052069425901,30,-3556.51977539062
-118.985313751669,30,-3539.28979492188
-118.918558077437,30,-3537.169921875
-118.851802403204,30,-3491.759765625
-118.785046728972,30,-3403.89990234375
-118.71829105474,30,-3329.419921875
-118.651535380507,30,-3348.58715820312
-118.584779706275,30,-3604.26708984375
-118.518024032043,30,-3786.64721679688
-118.45126835781,30,-3563.58715820312
-118.384512683578,30,-3494.26708984375
-118.317757009346,30,-3478.64721679688
-118.251001335113,30,-3456.5771484375
-118.184245660881,30,-3373.197265625
-118.117489986649,30,-3473.32470703125
-118.050734312417,30,-3432.70483398438
-117.983978638184,30,-3264.0546875
-117.917222963952,30,-3215.4248046875
-117.85046728972,30,-3161.224609375
-117.783711615487,30,-3096.83471679688
-117.716955941255,30,-3047.50463867188
-117.650200267023,30,-3030.89477539062
-117.58344459279,30,-2784.12109375
-117.516688918558,30,-2089.82104492188
-117.449933244326,30,-1881.09118652344
-117.383177570093,30,-2579.75122070312
-117.316421895861,30,-2463.0810546875
-117.249666221629,30,-2381.61108398438
-117.182910547397,30,-2232.2412109375
-117.116154873164,30,-1996.38110351562
-117.049399198932,30,-1581.00622558594
-116.9826435247,30,-1915.97619628906
-116.915887850467,30,-2497.04614257812
-116.849132176235,30,-2594.80615234375
-116.782376502003,30,-2552.9462890625
-116.71562082777,30,-2534.23608398438
-116.648865153538,30,-2844.29614257812
-116.582109479306,30,-2849.74609375
-116.515353805073,30,-2735.81884765625
-116.448598130841,30,-2830.97875976562
-116.381842456609,30,-2462.06884765625
-116.315086782376,30,-2088.07885742188
-116.248331108144,30,-1758.81884765625
-116.181575433912,30,-915.618835449219
-116.11481975968,30,-807.408874511719
-116.048064085447,30,-799.478881835938
-115.981308411215,30,-509.939086914062
-115.914552736983,30,-130.269088745117
-115.84779706275,30,-29.7790908813477
-115.781041388518,30,52.3509063720703
-115.714285714286,30,132.110900878906
-115.647530040053,30,307.210906982422
-115.580774365821,30,271.540893554688
-115.514018691589,30,291.310913085938
-115.447263017356,30,300.026123046875
-115.380507343124,30,488.506134033203
-115.313751668892,30,556.876098632812
-115.24699599466,30,539.066101074219
-115.180240320427,30,547.406127929688
-115.113484646195,30,546.216125488281
-115.046728971963,30,565.316101074219
-114.97997329773,30,580.546142578125
-114.913217623498,30,609.005004882812
-114.846461949266,30,660.14501953125
-114.779706275033,30,763.775024414062
-114.712950600801,30,711.924987792969
-114.646194926569,30,550.284973144531
-114.579439252336,30,277.024993896484
-114.512683578104,30,-14.5750026702881
-114.445927903872,30,-22.3350028991699
-114.37917222964,30,-62.4050102233887
-114.312416555407,30,-105.405006408691
